Sample	Plasmid	Strand	MeanRatio	StdRatio	Dilutions	GC
pool1-3_S63	seq_2_gc=0.26_NcoI_PcaI	forward	4.03223646868653	0.117539100038164	-4	26
pool1-3_S63	seq_2_gc=0.26_NcoI_PcaI	reverse	4.16475826737184	0.191734725538487	-4	26
pool1-3_S63	seq_2_gc=0.36_XhoI_XmaI	forward	2.66911783406599	0.039492628632975	-3	36
pool1-3_S63	seq_2_gc=0.36_XhoI_XmaI	reverse	2.48681996457384	0.048914320486121	-3	36
pool1-3_S63	seq_2_gc=0.46_NcoI_PacI	forward	2.08863048802876	0.022035238569342	-2	46
pool1-3_S63	seq_2_gc=0.46_NcoI_PacI	reverse	2.01486415501958	0.025513474388046	-2	46
pool1-3_S63	seq_2_gc=0.56_XmaI_PacI	forward	1.87714521227704	0.007010261944619	-1	56
pool1-3_S63	seq_2_gc=0.56_XmaI_PacI	reverse	1.80576772727971	0.007904573538187	-1	56
pool1-3_S63	seq_2_gc=0.66_XhoI_PacI	forward	1.83591678968093	0.002261394585899	0	66
pool1-3_S63	seq_2_gc=0.66_XhoI_PacI	reverse	1.77754549759622	0.002511184403947	0	66
pool2-1_S64	seq_1_gc=0.26_PmeI_NcoI	forward	4.27184019885213	0.109489977285329	-4	26
pool2-1_S64	seq_1_gc=0.26_PmeI_NcoI	reverse	6.38289930075899	0.158434698120276	-4	26
pool2-1_S64	seq_1_gc=0.36_PmeI_XhoI	forward	2.49758810884302	0.078006592231735	-3	36
pool2-1_S64	seq_1_gc=0.36_PmeI_XhoI	reverse	3.21042321204615	0.094208549358898	-3	36
pool2-1_S64	seq_1_gc=0.46_PmeI_NcoI	forward	2.06198065181685	0.025787473431436	-2	46
pool2-1_S64	seq_1_gc=0.46_PmeI_NcoI	reverse	2.71463884941888	0.031014977803563	-2	46
pool2-1_S64	seq_1_gc=0.56_PmeI_XmaI	forward	1.64435093041893	0.006668675907026	-1	56
pool2-1_S64	seq_1_gc=0.56_PmeI_XmaI	reverse	2.1871896541428	0.00795364020038	-1	56
pool2-1_S64	seq_1_gc=0.66_PmeI_XhoI	forward	1.44839745490013	0.001751727001692	0	66
pool2-1_S64	seq_1_gc=0.66_PmeI_XhoI	reverse	1.87002866017598	0.00207539675997	0	66
pool2-1_S64	seq_2_gc=0.26_NcoI_PcaI	forward	4.06464387408167	0.004416176713374	0	26
pool2-1_S64	seq_2_gc=0.26_NcoI_PcaI	reverse	5.68212283365435	0.005750980169979	0	26
pool2-1_S64	seq_2_gc=0.36_XhoI_XmaI	forward	2.55729603990238	0.008630044190684	-1	36
pool2-1_S64	seq_2_gc=0.36_XhoI_XmaI	reverse	3.41769818157262	0.010764875119002	-1	36
pool2-1_S64	seq_2_gc=0.46_NcoI_PacI	forward	1.94490102433268	0.023083551090125	-2	46
pool2-1_S64	seq_2_gc=0.46_NcoI_PacI	reverse	2.57580534205208	0.027942448723807	-2	46
pool2-1_S64	seq_2_gc=0.56_XmaI_PacI	forward	1.70174700380689	0.065710713335352	-3	56
pool2-1_S64	seq_2_gc=0.56_XmaI_PacI	reverse	2.32427684049053	0.080888881099801	-3	56
pool2-1_S64	seq_2_gc=0.66_XhoI_PacI	forward	1.93323220893169	0.086290710974048	-4	66
