FileConf	FileName.x	TotalReads	Configuration.x	FwdRev	OTUID	variable	value	FileName.y	Configuration.y	Normalized	Isolate
SRR10015223_1_trim50_synthetic16S	SRR10015223_1	6183315	trim50_synthetic16S	foward	Ec5004	SRR10015223_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	317	SRR10015223_1	trim50_synthetic16S	4.52857142857143	SRR10015223
SRR10015223_1_trim50_synthetic16S	SRR10015223_1	6183315	trim50_synthetic16S	foward	Ec5005	SRR10015223_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	362	SRR10015223_1	trim50_synthetic16S	5.17142857142857	SRR10015223
SRR10015223_1_trim50_synthetic16S	SRR10015223_1	6183315	trim50_synthetic16S	foward	Ec5501	SRR10015223_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	514	SRR10015223_1	trim50_synthetic16S	7.34285714285714	SRR10015223
SRR10015223_1_trim50_synthetic16S	SRR10015223_1	6183315	trim50_synthetic16S	foward	Ec5502	SRR10015223_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	262	SRR10015223_1	trim50_synthetic16S	3.74285714285714	SRR10015223
SRR10015223_1_trim50_synthetic16S	SRR10015223_1	6183315	trim50_synthetic16S	foward	Ec6001	SRR10015223_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	421	SRR10015223_1	trim50_synthetic16S	6.01428571428571	SRR10015223
SRR10015223_1_trim50_synthetic16S	SRR10015223_1	6183315	trim50_synthetic16S	foward	Ga5501	SRR10015223_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	336	SRR10015223_1	trim50_synthetic16S	4.8	SRR10015223
SRR10015223_1_trim50_synthetic16S	SRR10015223_1	6183315	trim50_synthetic16S	foward	Tb5501	SRR10015223_1.fastq.trimmed.fastq_trim50.fastq_synthetic16S	82	SRR10015223_1	trim50_synthetic16S	1.17142857142857	SRR10015223
SRR1217786_trim50_synthetic16S	SRR1217786	7625939	trim50_synthetic16S	singleend	Bv5501	SRR1217786.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR1217786	trim50_synthetic16S	0	SRR1217786
SRR1217786_trim50_synthetic16S	SRR1217786	7625939	trim50_synthetic16S	singleend	Ca5501	SRR1217786.fastq.trimmed.fastq_trim50.fastq_synthetic16S	1961	SRR1217786	trim50_synthetic16S	26.1466666666667	SRR1217786
SRR1217786_trim50_synthetic16S	SRR1217786	7625939	trim50_synthetic16S	singleend	Ec5001	SRR1217786.fastq.trimmed.fastq_trim50.fastq_synthetic16S	8	SRR1217786	trim50_synthetic16S	0.106666666666667	SRR1217786
SRR1217786_trim50_synthetic16S	SRR1217786	7625939	trim50_synthetic16S	singleend	Ec5002	SRR1217786.fastq.trimmed.fastq_trim50.fastq_synthetic16S	31	SRR1217786	trim50_synthetic16S	0.413333333333333	SRR1217786
SRR1217786_trim50_synthetic16S	SRR1217786	7625939	trim50_synthetic16S	singleend	Ec5003	SRR1217786.fastq.trimmed.fastq_trim50.fastq_synthetic16S	60	SRR1217786	trim50_synthetic16S	0.8	SRR1217786
SRR1217786_trim50_synthetic16S	SRR1217786	7625939	trim50_synthetic16S	singleend	Ec5004	SRR1217786.fastq.trimmed.fastq_trim50.fastq_synthetic16S	46	SRR1217786	trim50_synthetic16S	0.613333333333333	SRR1217786
SRR1217786_trim50_synthetic16S	SRR1217786	7625939	trim50_synthetic16S	singleend	Ec5005	SRR1217786.fastq.trimmed.fastq_trim50.fastq_synthetic16S	157	SRR1217786	trim50_synthetic16S	2.09333333333333	SRR1217786
SRR1217786_trim50_synthetic16S	SRR1217786	7625939	trim50_synthetic16S	singleend	Ec5501	SRR1217786.fastq.trimmed.fastq_trim50.fastq_synthetic16S	93	SRR1217786	trim50_synthetic16S	1.24	SRR1217786
SRR1217786_trim50_synthetic16S	SRR1217786	7625939	trim50_synthetic16S	singleend	Ec5502	SRR1217786.fastq.trimmed.fastq_trim50.fastq_synthetic16S	15	SRR1217786	trim50_synthetic16S	0.2	SRR1217786
SRR1217786_trim50_synthetic16S	SRR1217786	7625939	trim50_synthetic16S	singleend	Ec6001	SRR1217786.fastq.trimmed.fastq_trim50.fastq_synthetic16S	29	SRR1217786	trim50_synthetic16S	0.386666666666667	SRR1217786
SRR1217786_trim50_synthetic16S	SRR1217786	7625939	trim50_synthetic16S	singleend	Ga5501	SRR1217786.fastq.trimmed.fastq_trim50.fastq_synthetic16S	60	SRR1217786	trim50_synthetic16S	0.8	SRR1217786
SRR1217786_trim50_synthetic16S	SRR1217786	7625939	trim50_synthetic16S	singleend	Tb5501	SRR1217786.fastq.trimmed.fastq_trim50.fastq_synthetic16S	1	SRR1217786	trim50_synthetic16S	0.0133333333333333	SRR1217786
SRR1700598_trim50_synthetic16S	SRR1700598	3983577	trim50_synthetic16S	singleend	Bv5501	SRR1700598.fastq.trimmed.fastq_trim50.fastq_synthetic16S	0	SRR1700598	trim50_synthetic16S	0	SRR1700598
SRR1700598_trim50_synthetic16S	SRR1700598	3983577	trim50_synthetic16S	singleend	Ca5501	SRR1700598.fastq.trimmed.fastq_trim50.fastq_synthetic16S	2622	SRR1700598	trim50_synthetic16S	79.4545454545455	SRR1700598
SRR1700598_trim50_synthetic16S	SRR1700598	3983577	trim50_synthetic16S	singleend	Ec5001	SRR1700598.fastq.trimmed.fastq_trim50.fastq_synthetic16S	20	SRR1700598	trim50_synthetic16S	0.606060606060606	SRR1700598
SRR1700598_trim50_synthetic16S	SRR1700598	3983577	trim50_synthetic16S	singleend	Ec5002	SRR1700598.fastq.trimmed.fastq_trim50.fastq_synthetic16S	43	SRR1700598	trim50_synthetic16S	1.3030303030303	SRR1700598
SRR1700598_trim50_synthetic16S	SRR1700598	3983577	trim50_synthetic16S	singleend	Ec5003	SRR1700598.fastq.trimmed.fastq_trim50.fastq_synthetic16S	86	SRR1700598	trim50_synthetic16S	2.60606060606061	SRR1700598
SRR1700598_trim50_synthetic16S	SRR1700598	3983577	trim50_synthetic16S	singleend	Ec5004	SRR1700598.fastq.trimmed.fastq_trim50.fastq_synthetic16S	86	SRR1700598	trim50_synthetic16S	2.60606060606061	SRR1700598
